Date,Time,Station_No,TSP,PM2.5,O3,CO,NO2,SO2,Temperature,Humidity
10-09-2021,03:00,4,32.36333333,13.74333333,66.1531,607.571,60.5063,105.2366667,30.53333333,71.115
10-09-2021,04:00,4,35.25833333,14.77,65.10616667,612.919,61.9178,112.2233333,30.44833333,71.85
10-09-2021,05:00,4,38.05,15.16333333,64.22281667,819.008,61.13363333,122.7033333,30.53,71.42666667
10-09-2021,06:00,4,33.30333333,13.725,63.53576667,879.364,56.86776667,134.0566667,31.36833333,68.625
10-09-2021,07:00,4,29.39833333,13.175,58.17023333,753.113,45.23073333,136.6766667,32.48333333,64.93833333
10-09-2021,08:00,4,30.28947368,13.70350877,60.68080702,1773.686316,47.05,155.8210526,33.7877193,61.00526316
10-09-2021,09:00,4,23.96833333,11.355,46.55581667,721.025,21.58026667,134.0566667,34.565,58.02833333
10-09-2021,10:00,4,20.75333333,10.15833333,42.2045,624.57,17.37713333,132.31,35.19666667,55.03166667
10-09-2021,11:00,4,20.30166667,10.08333333,50.28551667,580.067,21.32933333,132.31,35.45833333,54.33333333
10-09-2021,12:00,4,21.145,10.50666667,56.07636667,832.187,26.19116667,146.72,35.56833333,53.61333333
10-09-2021,13:00,4,28.80333333,13.87333333,72.07481667,581.786,33.06046667,131.0,35.18666667,54.535
10-09-2021,14:00,4,34.70714286,16.48214286,83.14707143,783.1682143,40.12692857,135.2107143,34.56071429,55.85535714
10-09-2021,15:00,4,69.10833333,30.69166667,135.0544,984.414,88.42263333,132.31,31.265,72.595
10-09-2021,16:00,4,56.59166667,25.65333333,127.69315,1031.782,100.5301667,161.5666667,30.77333333,73.565
10-09-2021,17:00,4,36.75,16.33166667,98.3463,1069.027,85.66236667,160.6933333,31.12333333,71.93666667
10-09-2021,18:00,4,40.82333333,17.69166667,90.06898333,5457.443,81.6788,303.4833333,31.415,71.18666667
10-09-2021,19:00,4,41.34166667,17.86666667,72.2384,1017.457,66.02683333,131.0,31.45666667,71.195
10-09-2021,20:00,4,34.675,15.60892857,67.51317857,580.9810714,56.82967857,106.2035714,31.675,69.07142857
10-09-2021,21:00,4,34.76166667,15.575,68.77043333,523.531,54.70346667,104.8,31.62,69.58333333
10-09-2021,22:00,4,42.11333333,18.0,74.2014,509.97,64.0821,104.3633333,31.33,71.63833333
10-09-2021,23:00,4,43.46833333,18.52,72.99088333,478.646,63.4234,108.2933333,30.82666667,73.935
11-09-2021,00:00,4,52.47666667,22.50833333,70.24268333,496.982,63.54886667,106.11,30.59166667,74.88166667
11-09-2021,01:00,4,57.80555556,24.9462963,68.48688889,509.7577778,63.29096296,111.1074074,30.6,74.86666667
11-09-2021,02:00,4,53.50508475,23.20677966,66.40928814,504.0457627,64.21128814,104.3559322,30.64237288,74.33220339
11-09-2021,03:00,4,51.755,22.345,64.35368333,464.321,61.66686667,102.6166667,31.17333333,71.93833333
11-09-2021,04:00,4,51.8,22.15333333,63.0123,449.423,62.89016667,104.8,31.17333333,71.33666667
11-09-2021,05:00,4,37.52,16.47,58.56283333,508.442,57.55783333,104.8,31.42,69.11166667
11-09-2021,06:00,4,33.93,15.255,57.58133333,647.681,52.53916667,121.3933333,32.02666667,66.61666667
11-09-2021,07:00,4,29.67037037,13.67037037,54.16425926,558.3566667,44.33155556,125.1777778,33.27222222,63.13148148
11-09-2021,08:00,4,25.72333333,12.13166667,42.46623333,570.326,26.97533333,119.6466667,34.75333333,57.50333333
11-09-2021,09:00,4,21.37,10.42,37.75503333,513.981,15.8088,114.4066667,35.60833333,54.295
11-09-2021,10:00,4,18.80666667,9.371666667,44.7564,538.429,18.75726667,110.9133333,36.06,52.41
11-09-2021,11:00,4,17.94,8.71,46.3268,469.287,21.67436667,123.5766667,36.48,50.9
11-09-2021,12:00,4,18.98666667,9.04,50.28551667,479.983,24.15233333,127.07,36.92333333,50.10666667
11-09-2021,13:00,4,18.39137931,8.653448276,47.01046552,535.0634483,20.02058621,127.3862069,37.05172414,48.42413793
11-09-2021,14:00,4,24.605,11.58333333,63.69935,541.867,32.40176667,131.0,36.45666667,50.64666667
11-09-2021,15:00,4,28.705,13.43833333,74.88845,716.441,40.6512,130.1266667,36.12333333,50.99333333
11-09-2021,16:00,4,31.82833333,14.625,82.96946667,666.781,44.7916,125.76,35.025,52.94833333
11-09-2021,17:00,4,37.01333333,16.76166667,96.12156667,621.896,61.19636667,124.0133333,34.30666667,56.51333333
11-09-2021,18:00,4,39.45166667,18.14666667,87.90968333,717.969,61.2591,130.5633333,33.785,58.38666667
11-09-2021,19:00,4,38.28166667,17.695,79.3052,598.021,59.4712,130.1266667,33.56833333,58.95
11-09-2021,20:00,4,34.365,15.88166667,80.12311667,594.774,59.50256667,127.5066667,33.16,61.115
11-09-2021,21:00,4,30.10333333,13.85166667,76.13168333,610.818,59.5653,126.6333333,32.78,62.545
11-09-2021,22:00,4,26.095,11.96833333,70.50441667,538.62,58.78113333,109.6033333,32.6,62.25166667
11-09-2021,23:00,4,24.00333333,11.06833333,66.31668333,507.296,56.46,104.8,32.51666667,62.29
12-09-2021,00:00,4,26.04833333,11.92666667,69.03216667,502.903,58.84386667,104.8,32.32166667,63.70833333
